filename	comments	StepSize	DelayTime	volts	CV-tron	IonGauge	Temperature	NEON HV	PMT HV	c0	dc0	c1	dc1	s1	ds1	c2	dc2	s2	ds2	c4	dc4	s4	ds4	mag2	angle2	mag4	angle4	SSres	 R ²
/home/pi/Data/2018-04-29/POL2018-04-29_152715.dat	vac/atmo	1	30	1.000000	8.83E+02	3.82E-03	33.599998	-1.450293	-1005.587444	0.003220	-0.000093	0.000030	0.000086	0.000030	0.000021	0.000185	0.000030	-0.000242	0.000031	0.000090	0.000030	0.000026	0.000030	0.000304	-0.918519	0.000094	0.284774	0.000080	0.227853
/home/pi/Data/2018-04-29/POL2018-04-29_152823.dat	vac/atmo	1	30	3.990000	9.00E+02	3.82E-03	33.599998	1799.584806	-1004.824132	0.689771	-0.000069	0.000196	-0.001805	0.000198	0.000139	-0.004032	0.000219	-0.054974	0.000173	0.290766	0.000198	-0.049311	0.000196	0.055121	-1.644010	0.294918	-0.167991	0.011867	0.999341
/home/pi/Data/2018-04-29/POL2018-04-29_152930.dat	vac/atmo	1	30	3.990000	9.00E+02	3.82E-03	33.500000	1803.096041	-1005.740106	0.697097	0.002739	0.000194	0.002258	0.000195	0.000138	-0.002842	0.000215	-0.052807	0.000172	0.293768	0.000196	-0.046957	0.000193	0.052884	-1.624561	0.297497	-0.158503	0.004308	0.999764
/home/pi/Data/2018-04-29/POL2018-04-29_153036.dat	vac/atmo	1	30	3.990000	9.00E+02	3.82E-03	33.500000	1800.958768	-1005.587444	0.698417	0.003065	0.000196	0.002717	0.000196	0.000139	-0.003044	0.000215	-0.052840	0.000175	0.294677	0.000196	-0.047284	0.000197	0.052927	-1.628348	0.298446	-0.159105	0.004102	0.999777
/home/pi/Data/2018-04-29/POL2018-04-29_153143.dat	vac/atmo	1	30	3.990000	9.00E+02	3.82E-03	33.500000	1799.813800	-1005.816437	0.698541	0.003331	0.000196	0.002018	0.000194	0.000138	-0.002510	0.000216	-0.052806	0.000171	0.294569	0.000195	-0.047055	0.000195	0.052866	-1.618294	0.298304	-0.158405	0.004001	0.999782
/home/pi/Data/2018-04-29/POL2018-04-29_153249.dat	vac/atmo	1	30	3.990000	8.83E+02	3.82E-03	33.500000	1800.577112	-1005.740106	0.698296	0.003232	0.000197	0.003266	0.000192	0.000137	-0.002476	0.000215	-0.052170	0.000171	0.295056	0.000194	-0.047619	0.000195	0.052229	-1.618215	0.298874	-0.160009	0.004281	0.999768
/home/pi/Data/2018-04-29/POL2018-04-29_153408.dat	vac/atmo	1	30	1.000000	1.46E+00	3.82E-03	33.500000	-0.000000	-1006.121762	0.003438	-0.000096	0.000030	-0.000237	0.000029	0.000021	-0.000007	0.000030	0.000040	0.000029	-0.000019	0.000030	0.000083	0.000029	0.000041	1.751435	0.000085	1.793657	0.000090	0.141860
/home/pi/Data/2018-04-29/POL2018-04-29_153529.dat	vac/atmo	1	30	3.990000	2.86E-01	3.82E-03	33.500000	1799.737468	-1005.205788	0.691993	0.001365	0.000193	-0.001129	0.000197	0.000138	-0.003309	0.000216	-0.053446	0.000172	0.292512	0.000195	-0.047882	0.000194	0.053548	-1.632625	0.296405	-0.162252	0.007183	0.999604
/home/pi/Data/2018-04-29/POL2018-04-29_153645.dat	vac/atmo	1	30	3.990000	2.28E-01	3.82E-03	33.500000	1799.584806	-1005.511113	0.697661	0.002827	0.000196	0.002342	0.000195	0.000138	-0.002618	0.000216	-0.052325	0.000172	0.294438	0.000198	-0.047515	0.000193	0.052390	-1.620787	0.298247	-0.159997	0.004079	0.999778
/home/pi/Data/2018-04-29/POL2018-04-29_153801.dat	vac/atmo	1	30	3.990000	2.00E-01	3.82E-03	33.500000	1803.248703	-1005.282119	0.697926	0.002167	0.000196	0.002686	0.000194	0.000138	-0.002673	0.000216	-0.052323	0.000172	0.295098	0.000196	-0.047255	0.000194	0.052391	-1.621832	0.298857	-0.158784	0.004098	0.999778
/home/pi/Data/2018-04-29/POL2018-04-29_153918.dat	vac/atmo	1	30	3.990000	1.82E-01	3.82E-03	33.500000	1799.661137	-1005.282119	0.697811	0.003028	0.000197	0.002637	0.000190	0.000137	-0.002463	0.000215	-0.052064	0.000170	0.294555	0.000195	-0.047314	0.000193	0.052122	-1.618072	0.298330	-0.159268	0.003930	0.999786
/home/pi/Data/2018-04-29/POL2018-04-29_154035.dat	vac/atmo	1	30	3.990000	1.65E-01	3.82E-03	33.500000	1800.119124	-1005.358450	0.698498	0.002507	0.000194	0.002831	0.000193	0.000137	-0.002860	0.000213	-0.052215	0.000172	0.295252	0.000193	-0.047754	0.000194	0.052293	-1.625509	0.299089	-0.160352	0.003601	0.999805
/home/pi/Data/2018-04-29/POL2018-04-29_154155.dat	vac/atmo	1	30	1.010000	9.00E+02	3.82E-03	33.500000	-1.221300	-1005.969100	0.002933	0.000020	0.000030	-0.000102	0.000030	0.000021	0.000044	0.000030	0.000010	0.000030	-0.000062	0.000030	-0.000009	0.000031	0.000045	0.215688	0.000063	-3.004940	0.000085	0.038058
/home/pi/Data/2018-04-29/POL2018-04-29_154303.dat	vac/atmo	1	30	3.990000	9.00E+02	3.82E-03	33.500000	1797.065876	-1006.198093	0.688719	-0.000314	0.000193	-0.002121	0.000195	0.000137	-0.003778	0.000216	-0.054922	0.000170	0.290181	0.000197	-0.049154	0.000192	0.055052	-1.639470	0.294314	-0.167799	0.013555	0.999245
/home/pi/Data/2018-04-29/POL2018-04-29_154410.dat	vac/atmo	1	30	3.990000	9.00E+02	3.82E-03	33.500000	1801.264092	-1006.121762	0.696145	0.002566	0.000193	0.001576	0.000192	0.000136	-0.002887	0.000212	-0.053044	0.000171	0.294218	0.000193	-0.047625	0.000193	0.053123	-1.625168	0.298047	-0.160477	0.004692	0.999744
/home/pi/Data/2018-04-29/POL2018-04-29_154516.dat	vac/atmo	1	30	3.990000	9.00E+02	3.82E-03	33.500000	1803.630359	-1005.892769	0.697197	0.002555	0.000194	0.002324	0.000194	0.000137	-0.002626	0.000215	-0.052922	0.000170	0.294592	0.000194	-0.047638	0.000193	0.052987	-1.620379	0.298418	-0.160322	0.003674	0.999800
/home/pi/Data/2018-04-29/POL2018-04-29_154623.dat	vac/atmo	1	30	3.990000	8.83E+02	3.82E-03	33.599998	1800.958768	-1005.816437	0.698056	0.003251	0.000197	0.002384	0.000196	0.000139	-0.002786	0.000218	-0.052490	0.000173	0.295170	0.000196	-0.047690	0.000198	0.052564	-1.623827	0.298998	-0.160184	0.004602	0.999750
/home/pi/Data/2018-04-29/POL2018-04-29_154729.dat	vac/atmo	1	30	3.990000	9.00E+02	3.82E-03	33.599998	1802.409060	-1005.816437	0.698449	0.002828	0.000198	0.002810	0.000199	0.000140	-0.002456	0.000220	-0.052476	0.000175	0.295523	0.000200	-0.047242	0.000198	0.052534	-1.617561	0.299275	-0.158517	0.004532	0.999755
