SourceFile	Comment	CVGuage	LEDcurrent	Temperature	M/I	C/I	S/I
AutoPolVac3-2018-29-04_1526.dat	vac/atmo	0.286000	1799.737427	33.500000	1.028427	-0.036400	0.112132
AutoPolVac3-2018-29-04_1526.dat	vac/atmo	0.228000	1799.584839	33.500000	1.025628	-0.033982	0.108721
AutoPolVac3-2018-29-04_1526.dat	vac/atmo	0.200000	1803.248657	33.500000	1.028106	-0.032818	0.108759
AutoPolVac3-2018-29-04_1526.dat	vac/atmo	0.182000	1799.661133	33.500000	1.025756	-0.033239	0.108145
AutoPolVac3-2018-29-04_1526.dat	vac/atmo	0.165000	1800.119141	33.500000	1.027960	-0.034425	0.108462
AutoPolVac3-2018-29-04_1526.dat	vac/atmo	0.292000	1799.432129	33.599998	1.021909	-0.038114	0.111545
AutoPolVac3-2018-29-04_1526.dat	vac/atmo	0.232000	1803.554077	33.599998	1.024311	-0.033544	0.109086
AutoPolVac3-2018-29-04_1526.dat	vac/atmo	0.203000	1802.180054	33.700001	1.019760	-0.033712	0.107957
AutoPolVac3-2018-29-04_1526.dat	vac/atmo	0.185000	1803.630371	33.599998	1.023765	-0.031293	0.107866
AutoPolVac3-2018-29-04_1526.dat	vac/atmo	0.165000	1801.722046	33.700001	1.018526	-0.034734	0.108325
AutoPolVac3-2018-29-04_1526.dat	vac/atmo	0.297000	1800.119141	33.799999	1.015709	-0.036898	0.111221
AutoPolVac3-2018-29-04_1526.dat	vac/atmo	0.237000	1799.584839	33.700001	1.021990	-0.034637	0.109032
AutoPolVac3-2018-29-04_1526.dat	vac/atmo	0.203000	1801.416748	33.700001	1.021086	-0.033493	0.107541
AutoPolVac3-2018-29-04_1526.dat	vac/atmo	0.185000	1801.035156	33.599998	1.023882	-0.033432	0.108452
AutoPolVac3-2018-29-04_1526.dat	vac/atmo	0.168000	1802.485352	33.599998	1.025287	-0.034009	0.108560
AutoPolVac3-2018-29-04_1526.dat	vac/atmo	0.297000	1799.813843	33.700001	1.019488	-0.038795	0.111139
AutoPolVac3-2018-29-04_1526.dat	vac/atmo	0.237000	1803.172363	33.700001	1.020305	-0.033502	0.109012
AutoPolVac3-2018-29-04_1526.dat	vac/atmo	0.203000	1800.271729	33.700001	1.019850	-0.033712	0.107388
AutoPolVac3-2018-29-04_1526.dat	vac/atmo	0.185000	1801.722046	33.799999	1.018219	-0.031898	0.108147
AutoPolVac3-2018-29-04_1526.dat	vac/atmo	0.168000	1798.210815	33.799999	1.015371	-0.033438	0.108005
AutoPolVac3-2018-29-04_1526.dat	vac/atmo	0.292000	1686.385620	33.700001	1.019155	-0.039463	0.111326
AutoPolVac3-2018-29-04_1526.dat	vac/atmo	0.237000	1800.577148	33.700001	1.017791	-0.034371	0.107942
AutoPolVac3-2018-29-04_1526.dat	vac/atmo	0.203000	1800.653442	33.700001	1.021395	-0.033939	0.108369
AutoPolVac3-2018-29-04_1526.dat	vac/atmo	0.185000	1800.729736	33.700001	1.018853	-0.035104	0.107625
AutoPolVac3-2018-29-04_1526.dat	vac/atmo	0.165000	1802.256348	33.700001	1.021803	-0.034384	0.107965
AutoPolVac3-2018-29-04_1526.dat	vac/atmo	900.000000	1799.584839	33.599998	1.022319	-0.042059	0.115566
AutoPolVac3-2018-29-04_1526.dat	vac/atmo	900.000000	1803.096069	33.500000	1.023222	-0.032373	0.109759
AutoPolVac3-2018-29-04_1526.dat	vac/atmo	900.000000	1800.958740	33.500000	1.025059	-0.033048	0.109700
AutoPolVac3-2018-29-04_1526.dat	vac/atmo	900.000000	1799.813843	33.500000	1.024138	-0.032300	0.109523
AutoPolVac3-2018-29-04_1526.dat	vac/atmo	883.000000	1800.577148	33.500000	1.027351	-0.034054	0.108340
AutoPolVac3-2018-29-04_1526.dat	vac/atmo	900.000000	1797.065918	33.500000	1.024753	-0.041961	0.115712
AutoPolVac3-2018-29-04_1526.dat	vac/atmo	900.000000	1801.264038	33.500000	1.027811	-0.034551	0.110553
AutoPolVac3-2018-29-04_1526.dat	vac/atmo	900.000000	1803.630371	33.500000	1.027422	-0.034376	0.110091
AutoPolVac3-2018-29-04_1526.dat	vac/atmo	883.000000	1800.958740	33.599998	1.025268	-0.034163	0.108975
AutoPolVac3-2018-29-04_1526.dat	vac/atmo	900.000000	1802.409058	33.599998	1.025872	-0.032472	0.108869
AutoPolVac3-2018-29-04_1526.dat	vac/atmo	883.000000	1794.623291	33.700001	1.017354	-0.041104	0.114757
AutoPolVac3-2018-29-04_1526.dat	vac/atmo	900.000000	1800.577148	33.700001	1.022202	-0.035055	0.109596
AutoPolVac3-2018-29-04_1526.dat	vac/atmo	883.000000	1801.645752	33.700001	1.020682	-0.032077	0.108747
AutoPolVac3-2018-29-04_1526.dat	vac/atmo	883.000000	1801.569458	33.700001	1.022349	-0.033352	0.108462
AutoPolVac3-2018-29-04_1526.dat	vac/atmo	900.000000	1801.111450	33.700001	1.018062	-0.032595	0.108899
AutoPolVac3-2018-29-04_1526.dat	vac/atmo	883.000000	1797.142212	33.599998	1.021708	-0.040749	0.115194
AutoPolVac3-2018-29-04_1526.dat	vac/atmo	900.000000	1799.737427	33.599998	1.025012	-0.034438	0.109862
AutoPolVac3-2018-29-04_1526.dat	vac/atmo	900.000000	1803.477661	33.599998	1.023618	-0.034753	0.109188
AutoPolVac3-2018-29-04_1526.dat	vac/atmo	900.000000	1800.577148	33.799999	1.017729	-0.032355	0.108688
AutoPolVac3-2018-29-04_1526.dat	vac/atmo	883.000000	1801.874756	33.700001	1.023618	-0.034776	0.108124
AutoPolVac3-2018-29-04_1526.dat	vac/atmo	883.000000	1797.752808	33.799999	1.014792	-0.042552	0.114764
AutoPolVac3-2018-29-04_1526.dat	vac/atmo	900.000000	1798.516113	33.799999	1.018684	-0.033112	0.109456
AutoPolVac3-2018-29-04_1526.dat	vac/atmo	900.000000	1805.309692	33.799999	1.015469	-0.033570	0.108910
AutoPolVac3-2018-29-04_1526.dat	vac/atmo	883.000000	1801.035156	33.799999	1.016574	-0.032970	0.108468
AutoPolVac3-2018-29-04_1526.dat	vac/atmo	900.000000	1800.958740	33.799999	1.017567	-0.033846	0.107533
